"Nama Hadiah","Poin Dibutuhkan","Stok","Deskripsi"
"Minyak Goreng 1 Liter Pouch","150","30","Minyak goreng kelapa sawit higienis pouch kemasan 1 liter"
"Beras Premium Pandan Wangi 2.5 kg","320","20","Beras putih pulen kualitas premium kemasan 2.5 kg"
"Gula Pasir Tebu Kristal 1 kg","120","40","Gula pasir kristal putih murni kemasan 1 kg"
"Sabun Cuci Piring Cair 750 ml","80","50","Sabun cuci piring konsentrat ekstrak jeruk nipis"
"Deterjen Bubuk Konsentrat 800 gr","100","35","Deterjen pembersih pakaian wangi semerbak"
"Kecap Manis Pouch 520 ml","75","25","Kecap manis kedelai hitam pilihan kemasan pouch"
"Voucher Token PLN Rp 20.000","210","50","Kode token listrik PLN prabayar nominal Rp 20.000"
"Voucher Pulsa All Operator Rp 25.000","260","50","Pulsa elektrik langsung kirim ke nomor HP nasabah"
"Tote Bag Belanja Kanvas Ramah Lingkungan","60","60","Tas belanja spunbond kanvas tebal untuk belanja tanpa plastik"
"Tumbler Minum Stainless Steel 500 ml","250","15","Botol minum insulasi stainless steel tahan panas dan dingin"
