"Nama Kategori","Jenis Material","Harga per kg (Rp)","Poin per kg","Deskripsi"
"Botol Plastik PET Bening","plastik","4500","45","Botol air mineral transparan bersih tanpa tutup dan label"
"Gelas Plastik PP Bersih","plastik","3500","35","Gelas cup minuman kemasan tanpa tutup sealer"
"Botol Plastik HDPE Buram","plastik","4000","40","Botol shampoo, sabun cair, lotion, dan jerigen putih"
"Kardus & Karton Dupleks","kertas","2500","25","Kardus cokelat kemasan kering terlipat rapi"
"Kertas Arsip & HVS Putih","kertas","3000","30","Kertas dokumen print, fotokopi kantor bebas staples"
"Koran & Majalah Bekas","kertas","1800","18","Koran harian dan majalah bekas kering"
"Kaleng Aluminium Minuman","logam","14000","140","Kaleng soda, minuman berkarbonasi dan larutan kempes"
"Besi Campur & Rongsok","logam","5500","55","Besi tua potongan, paku, dan perabot logam bekas"
"Kuningan & Tembaga Murni","logam","65000","650","Kawat tembaga kabel dan pipa kuningan bersih"
"Botol Kaca Sirup & Kecap","kaca","1500","15","Botol beling utuh kecap, sirup, atau marjan"
"Pecahan Kaca Bening","kaca","800","8","Pecahan kaca kaca jendela dan botol bening"
"Minyak Jelantah (UCO)","plastik","7000","70","Minyak goreng jelantah bekas pakai tersaring bersih dalam jerigen"
